timestamp,open,high,low,close,volume
2020-01-01 00:00:00,100.14,100.42,99.75,100.35,3897083
2020-01-01 01:00:00,100.29,100.44,100.08,100.38,2056495
2020-01-01 02:00:00,100.62,100.99,100.51,100.8,4040258
2020-01-01 03:00:00,101.7,101.81,101.63,101.66,2806341
2020-01-01 04:00:00,102.01,102.3,101.44,101.65,2252755
2020-01-01 05:00:00,101.4,101.76,101.26,101.63,1096003
2020-01-01 06:00:00,102.82,103.22,102.28,102.52,4426916
2020-01-01 07:00:00,102.77,103.32,102.69,103.0,2978676
2020-01-01 08:00:00,102.61,102.92,102.6,102.87,1649574
2020-01-01 09:00:00,103.49,103.92,103.19,103.24,4495750
2020-01-01 10:00:00,103.39,103.55,103.05,103.11,2190845
2020-01-01 11:00:00,103.23,103.32,102.63,102.98,4308027
2020-01-01 12:00:00,102.8,103.31,102.57,103.2,3800080
2020-01-01 13:00:00,102.2,102.55,102.12,102.34,3231973
2020-01-01 14:00:00,101.82,101.93,100.96,101.58,1713379
2020-01-01 15:00:00,101.41,101.42,101.27,101.4,2403681
2020-01-01 16:00:00,100.67,101.26,100.39,100.99,4924485
2020-01-01 17:00:00,101.38,101.69,101.11,101.25,1719846
2020-01-01 18:00:00,100.68,101.08,100.56,100.89,3609535
2020-01-01 19:00:00,100.83,101.19,100.18,100.29,1039873
2020-01-01 20:00:00,101.58,102.03,100.92,101.12,4338129
2020-01-01 21:00:00,101.29,101.33,100.96,101.11,1219625
2020-01-01 22:00:00,101.65,101.68,101.18,101.24,2829402
2020-01-01 23:00:00,100.65,100.72,100.54,100.63,2399334
2020-01-02 00:00:00,100.69,100.87,100.24,100.46,3127336
2020-01-02 01:00:00,101.05,101.33,100.57,100.61,2946930
2020-01-02 02:00:00,100.21,100.58,99.93,100.14,4429650
2020-01-02 03:00:00,100.35,100.6,99.87,100.42,4805791
2020-01-02 04:00:00,99.71,100.24,99.69,100.22,4063639
2020-01-02 05:00:00,100.15,100.27,99.84,100.18,1123041
2020-01-02 06:00:00,100.22,100.31,99.97,99.98,1393816
2020-01-02 07:00:00,101.29,101.52,100.86,101.0,1767222
2020-01-02 08:00:00,101.25,101.51,100.75,101.1,1501271
2020-01-02 09:00:00,100.51,100.76,100.32,100.67,1549528
2020-01-02 10:00:00,100.59,101.32,100.48,101.18,2227595
2020-01-02 11:00:00,100.52,100.7,100.5,100.67,4773277
2020-01-02 12:00:00,100.78,101.05,100.59,100.87,2489138
2020-01-02 13:00:00,99.9,100.02,99.7,99.99,3715333
2020-01-02 14:00:00,99.61,99.86,99.41,99.43,3512925
2020-01-02 15:00:00,100.22,100.53,99.6,99.63,4942391
2020-01-02 16:00:00,100.13,100.2,99.97,100.1,2184224
2020-01-02 17:00:00,100.22,100.3,100.2,100.28,4944142
